Cep;Latitude;Longitude;UF;Cidade
57602260;-9,4158469;-36,6231047;AL;PALMEIRA DOS ÍNDIOS
57602270;-9,4215234;-36,6200263;AL;PALMEIRA DOS ÍNDIOS
57602275;-9,4173881;-36,6249953;AL;PALMEIRA DOS ÍNDIOS
57602280;-9,4159227;-36,6242105;AL;PALMEIRA DOS ÍNDIOS
57602282;-9,4146001;-36,6241679;AL;PALMEIRA DOS ÍNDIOS
57602285;-9,4160007;-36,6253324;AL;PALMEIRA DOS ÍNDIOS
57602290;-9,4205141;-36,6216778;AL;PALMEIRA DOS ÍNDIOS
57602300;-9,4167034;-36,622938;AL;PALMEIRA DOS ÍNDIOS
57602315;-9,4134792;-36,624265;AL;PALMEIRA DOS ÍNDIOS
57602320;-9,4143359;-36,6229367;AL;PALMEIRA DOS ÍNDIOS
57602325;-9,414076;-36,6255998;AL;PALMEIRA DOS ÍNDIOS
57602330;-9,4146172;-36,623683;AL;PALMEIRA DOS ÍNDIOS
57602334;-9,4138017;-36,6206509;AL;PALMEIRA DOS ÍNDIOS
57602335;-9,4146184;-36,6236812;AL;PALMEIRA DOS ÍNDIOS
57602340;-9,4152086;-36,6240178;AL;PALMEIRA DOS ÍNDIOS
57602345;-9,4151606;-36,6261655;AL;PALMEIRA DOS ÍNDIOS
57602350;-9,4161663;-36,6238703;AL;PALMEIRA DOS ÍNDIOS
57602360;-9,4226119;-36,6199796;AL;PALMEIRA DOS ÍNDIOS
57602370;-9,4149346;-36,6216997;AL;PALMEIRA DOS ÍNDIOS
57602380;-9,4158467;-36,6216024;AL;PALMEIRA DOS ÍNDIOS
57602390;-9,406106;-36,6331433;AL;PALMEIRA DOS ÍNDIOS
57602400;-9,4175234;-36,6217938;AL;PALMEIRA DOS ÍNDIOS
57602405;-9,418624;-36,6213835;AL;PALMEIRA DOS ÍNDIOS
57602410;-9,415153;-36,6211373;AL;PALMEIRA DOS ÍNDIOS
57602420;-9,4156717;-36,6212983;AL;PALMEIRA DOS ÍNDIOS
57602430;-9,4158467;-36,6216024;AL;PALMEIRA DOS ÍNDIOS
57602440;-9,4164428;-36,6223927;AL;PALMEIRA DOS ÍNDIOS
57602450;-9,416331;-36,6217659;AL;PALMEIRA DOS ÍNDIOS
57602460;-9,4168054;-36,6218934;AL;PALMEIRA DOS ÍNDIOS
57602465;-9,4204268;-36,6303205;AL;PALMEIRA DOS ÍNDIOS
57602470;-9,4175799;-36,621884;AL;PALMEIRA DOS ÍNDIOS
57602480;-9,4177393;-36,622224;AL;PALMEIRA DOS ÍNDIOS
57602490;-9,4139149;-36,6291161;AL;PALMEIRA DOS ÍNDIOS
57602491;-9,4226119;-36,6199796;AL;PALMEIRA DOS ÍNDIOS
57602492;-9,418624;-36,6213835;AL;PALMEIRA DOS ÍNDIOS
57602493;-9,4194782;-36,6215806;AL;PALMEIRA DOS ÍNDIOS
57602494;-9,4191737;-36,6201607;AL;PALMEIRA DOS ÍNDIOS
57602495;-9,4201769;-36,6197572;AL;PALMEIRA DOS ÍNDIOS
57602496;-9,4219924;-36,6192095;AL;PALMEIRA DOS ÍNDIOS
57602497;-9,4102165;-36,6245606;AL;PALMEIRA DOS ÍNDIOS
57602498;-9,4199794;-36,6195026;AL;PALMEIRA DOS ÍNDIOS
