Cep;Latitude;Longitude;UF;Cidade
62501475;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501480;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501485;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501490;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501495;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501500;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501505;-3,4996897;-39,5875328;CE;ITAPIPOCA
62501510;-3,4996897;-39,5875328;CE;ITAPIPOCA
62502008;-3,499706;-39,5839241;CE;ITAPIPOCA
62502016;-3,4959435;-39,5830497;CE;ITAPIPOCA
62502024;-3,4929602;-39,5821818;CE;ITAPIPOCA
62502032;-3,4952303;-39,5822374;CE;ITAPIPOCA
62502040;-3,4944959;-39,5810344;CE;ITAPIPOCA
62502048;-3,4976633;-39,5823035;CE;ITAPIPOCA
62502056;-3,4953086;-39,582122;CE;ITAPIPOCA
62502064;-3,4959474;-39,5825813;CE;ITAPIPOCA
62502072;-3,4970695;-39,5834686;CE;ITAPIPOCA
62502080;-3,4981235;-39,5832121;CE;ITAPIPOCA
62502088;-3,4979677;-39,5837924;CE;ITAPIPOCA
62502096;-3,4964339;-39,5836877;CE;ITAPIPOCA
62502104;-3,4957916;-39,5845175;CE;ITAPIPOCA
62502112;-3,4964339;-39,5836877;CE;ITAPIPOCA
62502120;-3,498942;-39,5841021;CE;ITAPIPOCA
62502180;-3,4973785;-39,5886911;CE;ITAPIPOCA
62502188;-3,4996897;-39,5875328;CE;ITAPIPOCA
62502196;-3,4953911;-39,5988711;CE;ITAPIPOCA
62502204;-3,4929602;-39,5821818;CE;ITAPIPOCA
62502212;-3,4975699;-39,5828861;CE;ITAPIPOCA
62502220;-3,4931919;-39,5899541;CE;ITAPIPOCA
62502228;-3,4973785;-39,5886911;CE;ITAPIPOCA
62502236;-3,4948198;-39,586176;CE;ITAPIPOCA
62502244;-3,499706;-39,5839241;CE;ITAPIPOCA
62502252;-3,4923267;-39,5827275;CE;ITAPIPOCA
62502260;-3,4971614;-39,5876546;CE;ITAPIPOCA
62502268;-3,4958745;-39,5882475;CE;ITAPIPOCA
62502276;-3,493927;-39,5882724;CE;ITAPIPOCA
62502284;-3,4955947;-39,5892385;CE;ITAPIPOCA
62502292;-3,4933996;-39,5893857;CE;ITAPIPOCA
62502300;-3,4923827;-39,5897714;CE;ITAPIPOCA
62502316;-3,4958745;-39,5882475;CE;ITAPIPOCA
62502324;-3,4966637;-39,5875653;CE;ITAPIPOCA
62502332;-3,4971614;-39,5876546;CE;ITAPIPOCA
62502340;-3,4957916;-39,5845175;CE;ITAPIPOCA
62502348;-3,4969202;-39,5885494;CE;ITAPIPOCA
62502356;-3,4988362;-39,585795;CE;ITAPIPOCA
62502364;-3,4988338;-39,5858044;CE;ITAPIPOCA
62502372;-3,4973785;-39,5886911;CE;ITAPIPOCA
62502380;-3,4994996;-39,5908598;CE;ITAPIPOCA
62502388;-3,4994742;-39,5863853;CE;ITAPIPOCA
62502396;-3,4986027;-39,5906031;CE;ITAPIPOCA
62502404;-3,4984721;-39,5905754;CE;ITAPIPOCA
62502420;-3,4948053;-39,5903723;CE;ITAPIPOCA
62502436;-3,4948053;-39,5903723;CE;ITAPIPOCA
62502444;-3,49028;-39,5956644;CE;ITAPIPOCA
62502452;-3,49028;-39,5956644;CE;ITAPIPOCA
62502484;-3,4970362;-39,590976;CE;ITAPIPOCA
62502492;-3,4955413;-39,5950968;CE;ITAPIPOCA
62502500;-3,4958536;-39,5915254;CE;ITAPIPOCA
62502508;-3,4948273;-39,5938722;CE;ITAPIPOCA
62502516;-3,4956533;-39,5932007;CE;ITAPIPOCA
62502518;-3,49028;-39,5956644;CE;ITAPIPOCA
62502524;-3,49028;-39,5956644;CE;ITAPIPOCA
62502532;-3,4946819;-39,5935509;CE;ITAPIPOCA
62502540;-3,4943845;-39,5937917;CE;ITAPIPOCA
62502556;-3,49425;-39,5942577;CE;ITAPIPOCA
62502564;-3,4942808;-39,5929483;CE;ITAPIPOCA
62502572;-3,49028;-39,5956644;CE;ITAPIPOCA
62502580;-3,4940443;-39,5961686;CE;ITAPIPOCA
62502588;-3,4964217;-39,5953198;CE;ITAPIPOCA
62502596;-3,4984311;-39,5958932;CE;ITAPIPOCA
62502604;-3,4977716;-39,595569;CE;ITAPIPOCA
62502612;-3,4964208;-39,5964143;CE;ITAPIPOCA
62502620;-3,4955673;-39,5984003;CE;ITAPIPOCA
62502628;-3,4968832;-39,5961679;CE;ITAPIPOCA
62502636;-3,4975115;-39,5953475;CE;ITAPIPOCA
62502644;-3,49028;-39,5956644;CE;ITAPIPOCA
62502660;-3,4969858;-39,5988204;CE;ITAPIPOCA
62502668;-3,49028;-39,5956644;CE;ITAPIPOCA
62502676;-3,495497;-39,5983638;CE;ITAPIPOCA
62502684;-3,4953911;-39,5988711;CE;ITAPIPOCA
62502692;-3,4952049;-39,5993782;CE;ITAPIPOCA
62502700;-3,5027452;-39,598016;CE;ITAPIPOCA
62502708;-3,4949952;-39,5999306;CE;ITAPIPOCA
62502716;-3,4955673;-39,5984003;CE;ITAPIPOCA
62502724;-3,4953911;-39,5988711;CE;ITAPIPOCA
62502732;-3,4938782;-39,6009702;CE;ITAPIPOCA
62502850;-3,4908882;-39,5999713;CE;ITAPIPOCA
62502858;-3,5002928;-39,5912067;CE;ITAPIPOCA
62502866;-3,49028;-39,5956644;CE;ITAPIPOCA
62502874;-3,5002928;-39,5912067;CE;ITAPIPOCA
62502882;-3,495771;-39,5941179;CE;ITAPIPOCA
62502898;-3,49028;-39,5956644;CE;ITAPIPOCA
62503008;-3,49028;-39,5956644;CE;ITAPIPOCA
62503030;-3,494697;-39,5804368;CE;ITAPIPOCA
62503038;-3,4943739;-39,5780688;CE;ITAPIPOCA
62503046;-3,4959001;-39,5829922;CE;ITAPIPOCA
62503054;-3,4944593;-39,5809558;CE;ITAPIPOCA
62503062;-3,4889417;-39,5786296;CE;ITAPIPOCA
62503070;-3,5003752;-39,5802195;CE;ITAPIPOCA
62503078;-3,4948213;-39,5804253;CE;ITAPIPOCA
62503086;-3,5023724;-39,5823088;CE;ITAPIPOCA
62503094;-3,4942172;-39,5791653;CE;ITAPIPOCA
62503102;-3,4920165;-39,5773208;CE;ITAPIPOCA
62503110;-3,4927216;-39,5785602;CE;ITAPIPOCA
62503118;-3,4918083;-39,5774497;CE;ITAPIPOCA
62503126;-3,4906317;-39,5789054;CE;ITAPIPOCA
62503134;-3,499706;-39,5839241;CE;ITAPIPOCA
62503142;-3,4893492;-39,5784321;CE;ITAPIPOCA
62503150;-3,4866902;-39,5806229;CE;ITAPIPOCA
62503158;-3,487969;-39,5798067;CE;ITAPIPOCA
62503166;-3,4964579;-39,5894442;CE;ITAPIPOCA
62503174;-3,4964579;-39,5894442;CE;ITAPIPOCA
62503182;-3,4907104;-39,5767179;CE;ITAPIPOCA
62503190;-3,4900229;-39,576201;CE;ITAPIPOCA
62503198;-3,4894484;-39,5761993;CE;ITAPIPOCA
62503206;-3,4838722;-39,5781016;CE;ITAPIPOCA
62503214;-3,4864241;-39,5792127;CE;ITAPIPOCA
62503222;-3,4887381;-39,575817;CE;ITAPIPOCA
62503230;-3,4878823;-39,5736187;CE;ITAPIPOCA
62503238;-3,4861424;-39,5757754;CE;ITAPIPOCA
62503246;-3,4852046;-39,5792154;CE;ITAPIPOCA
62503254;-3,4859776;-39,5743358;CE;ITAPIPOCA
62503262;-3,4841511;-39,5771128;CE;ITAPIPOCA
62503270;-3,4870985;-39,5775815;CE;ITAPIPOCA
62503278;-3,4896546;-39,5775943;CE;ITAPIPOCA
62503286;-3,486474;-39,5784144;CE;ITAPIPOCA
62503294;-3,48464;-39,5807934;CE;ITAPIPOCA
62503302;-3,4891069;-39,5792173;CE;ITAPIPOCA
62503310;-3,4828566;-39,579075;CE;ITAPIPOCA
62503318;-3,4915541;-39,5807837;CE;ITAPIPOCA
62503326;-3,4864241;-39,5792127;CE;ITAPIPOCA
62503334;-3,4870147;-39,579445;CE;ITAPIPOCA
62503350;-3,4858517;-39,5805454;CE;ITAPIPOCA
62503360;-3,4878581;-39,5811096;CE;ITAPIPOCA
62503370;-3,4806346;-39,5858163;CE;ITAPIPOCA
62503380;-3,4856347;-39,5821763;CE;ITAPIPOCA
62503390;-3,4806346;-39,5858163;CE;ITAPIPOCA
62503400;-3,4854391;-39,5875022;CE;ITAPIPOCA
62503410;-3,4854391;-39,5875022;CE;ITAPIPOCA
62503415;-3,4854391;-39,5875022;CE;ITAPIPOCA
62503420;-3,4882953;-39,5838759;CE;ITAPIPOCA
62503435;-3,49033;-39,583758;CE;ITAPIPOCA
62503440;-3,4905089;-39,5791781;CE;ITAPIPOCA
62503450;-3,4909363;-39,5805374;CE;ITAPIPOCA
62503460;-3,4820361;-39,5738097;CE;ITAPIPOCA
62503490;-3,4888788;-39,5889454;CE;ITAPIPOCA
62503500;-3,4839294;-39,5859669;CE;ITAPIPOCA
62504000;-3,4897995;-39,5762396;CE;ITAPIPOCA
62504005;-3,4900899;-39,5761771;CE;ITAPIPOCA
62504010;-3,4904947;-39,5748632;CE;ITAPIPOCA
62504015;-3,4905497;-39,5741104;CE;ITAPIPOCA
62504020;-3,4878823;-39,5736187;CE;ITAPIPOCA
62504025;-3,4864908;-39,5748421;CE;ITAPIPOCA
62504030;-3,4863955;-39,5740269;CE;ITAPIPOCA
62504035;-3,4859776;-39,5743358;CE;ITAPIPOCA
62504040;-3,4851192;-39,5744908;CE;ITAPIPOCA
62504045;-3,4850119;-39,5727683;CE;ITAPIPOCA
62504050;-3,4850119;-39,5727683;CE;ITAPIPOCA
62504055;-3,4842804;-39,5743339;CE;ITAPIPOCA
62504060;-3,4844145;-39,5759388;CE;ITAPIPOCA
62504065;-3,4842641;-39,5724767;CE;ITAPIPOCA
62504070;-3,4834801;-39,5721872;CE;ITAPIPOCA
62504075;-3,4842641;-39,5724767;CE;ITAPIPOCA
62504080;-3,4842979;-39,5703782;CE;ITAPIPOCA
62504085;-3,4842641;-39,5724767;CE;ITAPIPOCA
62504090;-3,4902966;-39,5757332;CE;ITAPIPOCA
62504095;-3,4878278;-39,5714254;CE;ITAPIPOCA
62504100;-3,4894539;-39,5761826;CE;ITAPIPOCA
62504105;-3,488559;-39,5759929;CE;ITAPIPOCA
62504110;-3,4841511;-39,5771128;CE;ITAPIPOCA
62504118;-3,4844246;-39,5759416;CE;ITAPIPOCA
62504126;-3,4834801;-39,5721872;CE;ITAPIPOCA
62504134;-3,4824704;-39,5702911;CE;ITAPIPOCA
62504142;-3,4828622;-39,5740606;CE;ITAPIPOCA
62504150;-3,4799863;-39,5751422;CE;ITAPIPOCA
62504158;-3,4792705;-39,575089;CE;ITAPIPOCA
62504166;-3,4782974;-39,5757266;CE;ITAPIPOCA
62504174;-3,4771015;-39,5737141;CE;ITAPIPOCA
62504182;-3,4817569;-39,5776966;CE;ITAPIPOCA
62504198;-3,4828533;-39,5790746;CE;ITAPIPOCA
62504206;-3,48464;-39,5807934;CE;ITAPIPOCA
62504214;-3,4824495;-39,5809111;CE;ITAPIPOCA
62504222;-3,48219;-39,5656628;CE;ITAPIPOCA
62504230;-3,4838592;-39,5810709;CE;ITAPIPOCA
62504238;-3,4831682;-39,5822121;CE;ITAPIPOCA
62504246;-3,48219;-39,5656628;CE;ITAPIPOCA
62504254;-3,4830773;-39,5821969;CE;ITAPIPOCA
62504262;-3,4835158;-39,5769203;CE;ITAPIPOCA
62504270;-3,4831682;-39,5822121;CE;ITAPIPOCA
62504278;-3,4857592;-39,580473;CE;ITAPIPOCA
62504286;-3,48464;-39,5807934;CE;ITAPIPOCA
62504294;-3,484905;-39,5835524;CE;ITAPIPOCA
62504302;-3,4856347;-39,5821763;CE;ITAPIPOCA
62504310;-3,4855101;-39,5812628;CE;ITAPIPOCA
62504318;-3,485324;-39,5821397;CE;ITAPIPOCA
62504326;-3,4830773;-39,5821969;CE;ITAPIPOCA
62504342;-3,4819527;-39,5854236;CE;ITAPIPOCA
62504350;-3,4831047;-39,5835481;CE;ITAPIPOCA
62504358;-3,4818206;-39,5840729;CE;ITAPIPOCA
62504366;-3,4830773;-39,5821969;CE;ITAPIPOCA
62504374;-3,508556;-39,5845259;CE;ITAPIPOCA
62504382;-3,4831682;-39,5822121;CE;ITAPIPOCA
62504390;-3,4771966;-39,5754261;CE;ITAPIPOCA
62504530;-3,4805188;-39,5651361;CE;ITAPIPOCA
62504535;-3,4843729;-39,5692285;CE;ITAPIPOCA
62504545;-3,484288;-39,5703705;CE;ITAPIPOCA
62504550;-3,4842641;-39,5724767;CE;ITAPIPOCA
62504555;-3,4817607;-39,569987;CE;ITAPIPOCA
62504570;-3,4823802;-39,572986;CE;ITAPIPOCA
62504575;-3,4825986;-39,569987;CE;ITAPIPOCA
62504585;-3,4832808;-39,5683372;CE;ITAPIPOCA
62504590;-3,4823344;-39,5686374;CE;ITAPIPOCA
62504595;-3,4777119;-39,5685346;CE;ITAPIPOCA
62504600;-3,4817679;-39,5699862;CE;ITAPIPOCA
62504605;-3,4817607;-39,569987;CE;ITAPIPOCA
62504610;-3,4800638;-39,5666522;CE;ITAPIPOCA
62504615;-3,4841869;-39,5711497;CE;ITAPIPOCA
62504620;-3,4824522;-39,5777116;CE;ITAPIPOCA
62504625;-3,4824522;-39,5777116;CE;ITAPIPOCA
62504630;-3,4799584;-39,5708558;CE;ITAPIPOCA
62504635;-3,4817607;-39,569987;CE;ITAPIPOCA
62504640;-3,4829602;-39,5740798;CE;ITAPIPOCA
62504645;-3,4949454;-39,5804701;CE;ITAPIPOCA
62504660;-3,4789159;-39,5708902;CE;ITAPIPOCA
62504675;-3,4805078;-39,5652728;CE;ITAPIPOCA
62504680;-3,4805078;-39,5652728;CE;ITAPIPOCA
62504690;-3,4817607;-39,569987;CE;ITAPIPOCA
62504695;-3,494867;-39,5966608;CE;ITAPIPOCA
62504750;-3,4817607;-39,569987;CE;ITAPIPOCA
62504755;-3,4818286;-39,5706956;CE;ITAPIPOCA
62504760;-3,478999;-39,565072;CE;ITAPIPOCA
62504765;-3,4818286;-39,5706956;CE;ITAPIPOCA
62504770;-3,4818286;-39,5706956;CE;ITAPIPOCA
62504775;-3,4818286;-39,5706956;CE;ITAPIPOCA
62504780;-3,4818286;-39,5706956;CE;ITAPIPOCA
62504785;-3,4818286;-39,5706956;CE;ITAPIPOCA
62504790;-3,478022;-39,565169;CE;ITAPIPOCA
62504795;-3,4817607;-39,569987;CE;ITAPIPOCA
62504800;-3,4817607;-39,569987;CE;ITAPIPOCA
62504805;-3,4817607;-39,569987;CE;ITAPIPOCA
62504810;-3,4817607;-39,569987;CE;ITAPIPOCA
62504815;-3,4817607;-39,569987;CE;ITAPIPOCA
62504820;-3,4818286;-39,5706956;CE;ITAPIPOCA
62504827;-3,4817607;-39,569987;CE;ITAPIPOCA
62504845;-3,4818286;-39,5706956;CE;ITAPIPOCA
62504865;-3,4818286;-39,5706956;CE;ITAPIPOCA
62505000;-3,4832808;-39,5683372;CE;ITAPIPOCA
62505020;-3,4885673;-39,5720634;CE;ITAPIPOCA
62505030;-3,4846203;-39,5713237;CE;ITAPIPOCA
62505040;-3,4856048;-39,568192;CE;ITAPIPOCA
62505050;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505060;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505065;-3,4875282;-39,5681969;CE;ITAPIPOCA
62505070;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505080;-3,4957916;-39,5845175;CE;ITAPIPOCA
62505090;-3,4890076;-39,5695084;CE;ITAPIPOCA
62505100;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505110;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505120;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505130;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505140;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505350;-3,493443;-39,576923;CE;ITAPIPOCA
62505360;-3,4945426;-39,5714467;CE;ITAPIPOCA
62505370;-3,4933484;-39,575303;CE;ITAPIPOCA
62505382;-3,4976174;-39,5718285;CE;ITAPIPOCA
62505390;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505410;-3,4945426;-39,5714467;CE;ITAPIPOCA
62505420;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505430;-3,4901971;-39,5676961;CE;ITAPIPOCA
62505640;-3,4814903;-39,5659834;CE;ITAPIPOCA
62505650;-3,4855923;-39,5681792;CE;ITAPIPOCA
62505660;-3,48219;-39,5656628;CE;ITAPIPOCA
62505670;-3,4824796;-39,5657144;CE;ITAPIPOCA
62505675;-3,4852097;-39,5661336;CE;ITAPIPOCA
62505680;-3,4793384;-39,5730973;CE;ITAPIPOCA
62505690;-3,48219;-39,5656628;CE;ITAPIPOCA
62507000;-3,4945561;-39,5715515;CE;ITAPIPOCA
62507005;-3,4962068;-39,570513;CE;ITAPIPOCA
62507015;-3,4885926;-39,5760189;CE;ITAPIPOCA
62507020;-3,4962068;-39,570513;CE;ITAPIPOCA
62507025;-3,49847;-39,5727746;CE;ITAPIPOCA
62507030;-3,5071607;-39,5719283;CE;ITAPIPOCA
62507035;-3,5020376;-39,5813557;CE;ITAPIPOCA
62507040;-3,4977451;-39,5734571;CE;ITAPIPOCA
62507045;-3,4980361;-39,5705879;CE;ITAPIPOCA
62507050;-3,4987396;-39,5701899;CE;ITAPIPOCA
62507055;-3,4987396;-39,5701899;CE;ITAPIPOCA
62507065;-3,4985268;-39,5707417;CE;ITAPIPOCA
62507070;-3,4989142;-39,5712548;CE;ITAPIPOCA
62507075;-3,4977451;-39,5734571;CE;ITAPIPOCA
62507080;-3,4979588;-39,5726202;CE;ITAPIPOCA
62507085;-3,4982568;-39,5713678;CE;ITAPIPOCA
62507090;-3,4985465;-39,5707733;CE;ITAPIPOCA
62507095;-3,4987396;-39,5701899;CE;ITAPIPOCA
62507105;-3,4989142;-39,5712548;CE;ITAPIPOCA
62507110;-3,4855942;-39,5770361;CE;ITAPIPOCA
62507115;-3,4987396;-39,5701899;CE;ITAPIPOCA
62507120;-3,4985268;-39,5707417;CE;ITAPIPOCA
62507410;-3,507931;-39,570121;CE;ITAPIPOCA
62507415;-3,5123665;-39,5668421;CE;ITAPIPOCA
